snapshot_date,item_id,warehouse_id,location_id,lpn_id,quantity_on_hand,last_updated_ts
2025-01-01,ITEM_00772,WH1,LOC_0068,LPN_100000,18,2025-01-01 00:00:00
2025-01-01,ITEM_00699,WH1,LOC_0008,LPN_100001,19,2025-01-01 00:00:00
2025-01-01,ITEM_00865,WH1,LOC_0094,LPN_100002,37,2025-01-01 00:00:00
2025-01-01,ITEM_00510,WH1,LOC_0068,LPN_100003,26,2025-01-01 00:00:00
2025-01-01,ITEM_00371,WH1,LOC_0059,LPN_100004,12,2025-01-01 00:00:00
2025-01-01,ITEM_00048,WH1,LOC_0097,LPN_100005,28,2025-01-01 00:00:00
2025-01-01,ITEM_00258,WH1,LOC_0089,LPN_100006,24,2025-01-01 00:00:00
2025-01-01,ITEM_00300,WH1,LOC_0047,LPN_100007,49,2025-01-01 00:00:00
2025-01-01,ITEM_00610,WH1,LOC_0065,LPN_100008,48,2025-01-01 00:00:00
2025-01-01,ITEM_00720,WH1,LOC_0086,LPN_100009,10,2025-01-01 00:00:00
2025-01-01,ITEM_00651,WH1,LOC_0101,LPN_100010,18,2025-01-01 00:00:00
2025-01-01,ITEM_00149,WH1,LOC_0093,LPN_100011,36,2025-01-01 00:00:00
2025-01-01,ITEM_00957,WH1,LOC_0068,LPN_100012,36,2025-01-01 00:00:00
2025-01-01,ITEM_00878,WH1,LOC_0105,LPN_100013,31,2025-01-01 00:00:00
2025-01-01,ITEM_00564,WH1,LOC_0096,LPN_100014,20,2025-01-01 00:00:00
2025-01-01,ITEM_00729,WH1,LOC_0016,LPN_100015,3,2025-01-01 00:00:00
2025-01-01,ITEM_00509,WH1,LOC_0036,LPN_100016,40,2025-01-01 00:00:00
2025-01-01,ITEM_00477,WH1,LOC_0116,LPN_100017,33,2025-01-01 00:00:00
2025-01-01,ITEM_00667,WH1,LOC_0057,LPN_100018,40,2025-01-01 00:00:00
2025-01-01,ITEM_00602,WH1,LOC_0079,LPN_100019,32,2025-01-01 00:00:00
2025-01-01,ITEM_00684,WH1,LOC_0049,LPN_100020,41,2025-01-01 00:00:00
2025-01-01,ITEM_00867,WH1,LOC_0056,LPN_100021,34,2025-01-01 00:00:00
2025-01-01,ITEM_00418,WH1,LOC_0026,LPN_100022,22,2025-01-01 00:00:00
2025-01-01,ITEM_00183,WH1,LOC_0090,LPN_100023,1,2025-01-01 00:00:00
2025-01-01,ITEM_00180,WH1,LOC_0042,LPN_100024,37,2025-01-01 00:00:00
2025-01-01,ITEM_00524,WH1,LOC_0048,LPN_100025,8,2025-01-01 00:00:00
2025-01-01,ITEM_00058,WH1,LOC_0040,LPN_100026,4,2025-01-01 00:00:00
2025-01-01,ITEM_00121,WH1,LOC_0114,LPN_100027,50,2025-01-01 00:00:00
2025-01-01,ITEM_00919,WH1,LOC_0088,LPN_100028,18,2025-01-01 00:00:00
2025-01-01,ITEM_00631,WH1,LOC_0022,LPN_100029,48,2025-01-01 00:00:00
2025-01-01,ITEM_00298,WH1,LOC_0010,LPN_100030,39,2025-01-01 00:00:00
2025-01-01,ITEM_00071,WH1,LOC_0114,LPN_100031,39,2025-01-01 00:00:00
2025-01-01,ITEM_00029,WH1,LOC_0086,LPN_100032,45,2025-01-01 00:00:00
2025-01-01,ITEM_00383,WH1,LOC_0106,LPN_100033,32,2025-01-01 00:00:00
2025-01-01,ITEM_00522,WH1,LOC_0058,LPN_100034,34,2025-01-01 00:00:00
2025-01-01,ITEM_00344,WH1,LOC_0049,LPN_100035,33,2025-01-01 00:00:00
2025-01-01,ITEM_00738,WH1,LOC_0055,LPN_100036,24,2025-01-01 00:00:00
2025-01-01,ITEM_00221,WH1,LOC_0019,LPN_100037,38,2025-01-01 00:00:00
2025-01-01,ITEM_00448,WH1,LOC_0079,LPN_100038,39,2025-01-01 00:00:00
